headline,date
IOCL reports net loss of Rs 449 crore in Q2 amid weak GRMs,"October 28, 2024 03:38 PM"
Trader Vitol sells Venezuelan oil to Indian refiners: Report,"October 09, 2024 09:01 AM"
"OMCs bet billions on petchem amid rising risk, market shifts","August 19, 2024 11:43 AM"
Indian Oil to continue investment momentum with brownfield and greenfield expansions: Chairman,"August 09, 2024 06:36 PM"
IOCL Apprentice Recruitment 2024: Apply for 400 vacancies before August 19; direct link here,"August 08, 2024 07:21 PM"
"State-run-OMCs' combined net profit slumps 77% in Q1 amid weak GRM, LPG under-recovery","July 31, 2024 07:40 PM"
"IOC Q1 results: Net profit falls 75% to Rs 3,723 crore on low refining margins","July 30, 2024 03:13 PM"
IOC's green hydrogen project sees sparse bids amidst industry concerns: Report,"July 16, 2024 10:23 AM"
IndianOil launches high-speed car racing fuel STORM-X,"July 14, 2024 07:42 PM"
"Indian Oil to boost LNG portfolio to 20 million tonnes by 2030, executive says","June 27, 2024 01:02 PM"
Indian Oil ties up with Sun Mobility for battery-swapping business,"June 05, 2024 04:17 PM"
"Indian Oil sets Rs 31,000-cr capex for FY25 to expand business, achieve net-zero status","May 13, 2024 08:39 AM"
"Indian Oil Q4 net profit falls 49% to Rs 5,488 crore; declares dividend of Rs 7/share","April 30, 2024 02:52 PM"
Lower GRMs amid high crude price may drag down performance of state-run OMCs,"April 26, 2024 07:49 PM"
"Indian Oil to focus on upskilling employees for green energy roles: Govil, Director, HR","April 25, 2024 08:23 PM"
"IOCL tweaks tender norms for maiden green hydrogen plant, but what are the revisions? MC Explains","April 09, 2024 02:28 PM"
IndianOil set to join high table of F1 fuel producers,"March 11, 2024 10:41 AM"
"India's IOC sees growth in gasoline, diesel sales in FY2024/2025","February 06, 2024 08:56 AM"
"Indian Oil Q3 net profit jumps multi-fold at Rs 9,225 crore on healthy marketing margins","January 24, 2024 02:59 PM"
"Indian government to offer Rs 8,500 crore financial assistance for coal gasification projects: Union Cabinet","January 24, 2024 02:39 PM"
"Reliance Industries hits all-time high, Goldman Sachs retains Buy, downgrades other oil stocks","January 10, 2024 05:27 PM"
Refiners set to ask for extra Saudi oil after sharp price cut,"January 09, 2024 05:53 PM"
Shares of oil marketers surge up to 9% as crude skids below $80 again,"December 28, 2023 01:48 PM"
India welcomes return of Venezuelan oil to market: Puri,"December 15, 2023 03:46 PM"
"Tata Power, Indian Oil sign deal to install 500-plus EV charging points in petrol pumps","December 11, 2023 02:24 PM"
Indian Oil opens its first EV battery swapping station in Kolkata,"December 04, 2023 09:55 PM"
Indian Oil to double Ennore LNG terminal's capacity to 10 million tpy - exec,"November 24, 2023 02:53 PM"
Double-digit gain for OMC shares as oil slips to $80 on demand worries,"November 20, 2023 12:35 PM"
Okaya only a vendor for installing EV chargers at its retail outlets; no collaboration: Indian Oil,"November 08, 2023 11:09 PM"
"State-run oil refiners post combined net profit of Rs 27,295 crore in Q2","November 07, 2023 01:08 PM"
Indian Oil launches country’s first reference fuel; to fully meet domestic demand,"October 26, 2023 05:27 PM"
"High crude prices to weaken refiners’ profitability in Q2, say analysts","October 16, 2023 04:15 PM"
