headline,date
Inox Wind unlikely to bid for Siemens' Indian wind energy unit,"October 31, 2024 01:54 PM"
Why India can’t stop adding new coal-based power plants,"October 22, 2024 11:38 AM"
Chart of the Day: Errant state electricity boards drive up renewable energy tariffs for states,"October 22, 2024 08:24 AM"
"India needs Rs 32 lakh cr investment in renewable by 2030, says IREDA CMD","October 21, 2024 07:58 PM"
Coal is powering the energy transition more than we’d like to admit,"October 21, 2024 04:47 PM"
Chart of the Day | India's renewable power to continue to shine,"October 21, 2024 09:27 AM"
L&T ties up with US firm to provide clean energy solutions globally,"October 18, 2024 03:11 PM"
Why India has a long way to go before achieving the 2030 renewable capacity target,"October 17, 2024 06:22 PM"
Middle East crisis to have no immediate impact on India; may provide impetus to renewable energy transition: economists,"October 07, 2024 02:10 PM"
India's domestic renewable energy sector makes 'notable contribution' to global workforce: Report,"October 04, 2024 05:02 PM"
Why manufacturers in India should shift to Green Utility Solutions,"October 04, 2024 10:52 AM"
The race for critical materials and how India can get ahead,"September 27, 2024 03:41 PM"
IPO-bound NTPC Green Energy inks JV pact to develop 10 GW of renewable energy parks,"September 26, 2024 03:39 PM"
States put best foot forward in 500 GW of renewable energy capacity goal by 2030,"September 26, 2024 09:16 AM"
"Adani Green Energy, Adani Energy Solutions join UNEZA on clean energy push","September 24, 2024 02:33 PM"
A welcome change in renewable energy project tenders,"September 24, 2024 08:10 AM"
"Suzlon aims to be renewable solutions leader, looks beyond wind","September 23, 2024 03:57 PM"
"Inevitable climate crisis may threaten alien civilizations, scientists say","September 23, 2024 12:26 PM"
"Inox Wind secures Rs 2,200 crore bank facilities, sheds group corporate guarantees; multibagger stock jumps","September 23, 2024 08:49 AM"
"States-Centre cooperation key to achieve 500GW installed RE capacity goal by 2030, says ReNew’s Sumant Sinha","September 20, 2024 04:58 PM"
"NTPC Green Energy files DRHP for Rs 10,000-crore IPO, earmarks portion for NTPC shareholders; check quota","September 19, 2024 08:26 AM"
Renewable Energy Minister Pralhad Joshi shows confidence in states’ commitment for adding RE capacity; cites 'need of time',"September 17, 2024 07:49 PM"
"NTPC Green Energy IPO buzz resurfaces: PSU gearing up to soon file for Rs 10,000-crore public issue","September 17, 2024 09:10 AM"
"States, industry commit RE capacity addition targets; Gujarat leads by pledging 128 GW capacity addition","September 16, 2024 07:21 PM"
"India aims to reach the top and sustain the spot, says PM Modi at RE-Invest 2024","September 16, 2024 03:28 PM"
"Torrent Power commits to Rs 64,000 crore investment in renewables by 2030","September 16, 2024 11:43 AM"
How the late payment surcharge scheme came to the rescue of renewable energy project developers,"September 16, 2024 08:06 AM"
What China’s 'New Three' policy means for India’s renewables ambitions,"September 13, 2024 10:56 AM"
Chart of the Day | Are banks betting too much on renewable energy sector too soon?,"September 11, 2024 08:14 AM"
"Study flags land, water challenges in scaling renewables beyond 1,500 GW","September 10, 2024 05:48 PM"
Suzlon stock worth Rs 254 crore sold in large trades; 3.7 crore share change hands,"September 10, 2024 10:28 AM"
Suzlon Energy stock gains 4% after Morgan Stanley reaffirms 'Overweight' on massive order win,"September 10, 2024 09:42 AM"
L&T carves out separate vertical for Renewable EPC out of transmission & distribution business,"September 02, 2024 12:28 PM"
All that gas: Emissions reduction performance of top cement companies is a mixed bag in FY24,"August 26, 2024 02:05 PM"
Battery storage costs must drop by 15% yearly for India to avoid adding new coal capacity: Report,"August 20, 2024 06:24 PM"
Need tax revenue to fund innovation in India’s push for green power: FM Sitharaman,"August 13, 2024 01:49 PM"
MC Interview | Tata Power targeting 50% of revenues from consumer-focussed businesses by 2030: MD,"August 12, 2024 09:46 AM"
Suzlon to acquire 51% stake in Renom Energy Services for Rs 400 crore,"August 06, 2024 08:15 PM"
MC Exclusive: Indian Oil mulls cancelling maiden green hydrogen tender again to revise bidding norms,"July 31, 2024 06:39 PM"
How to make a just transition in energy mix?,"July 30, 2024 09:12 AM"
Budget’s focus on solar power underscores commitment to energy transition goals,"July 24, 2024 11:38 AM"
India can become global wind energy manufacturing hub if Budget 2024 provides incentives: Suzlon CEO,"July 23, 2024 02:45 AM"
What can the Finance Minister do for India’s climate change action in Budget 2024-25?,"July 22, 2024 03:36 PM"
Energy needs to grow 2.5 times but green power faces hurdles: Economic Survey 2023-24,"July 22, 2024 03:24 PM"
"Jefferies' Chris Wood bullish on contract manufacturing, traditional energy stocks","July 17, 2024 02:36 PM"
"Solar PV, wind energy to dominate renewable energy capacity addition goals: IEA","June 25, 2024 10:23 PM"
Adani to invest Rs 2 lakh crore in renewable energy capacity addition by 2030,"June 25, 2024 04:59 PM"
MC Explains | What does VGF scheme mean for offshore wind energy projects?,"June 21, 2024 02:49 PM"
"Investments in renewable energy, roads, real estate to grow by 38% in FY25-26, says Crisil report","June 18, 2024 04:55 PM"
New offshore wind capacity of 410 GW to be installed over next 10 years: Report,"June 17, 2024 03:30 PM"
India's renewable energy goal need investment of $190 bn-$215 bn by 2030: Moody's,"June 12, 2024 06:17 PM"
Pralhad Joshi appointed as Minister of New and Renewable Energy. What's in store for the sector?,"June 10, 2024 09:27 PM"
Renewable energy push likely to be insulated from coalition compulsions,"June 10, 2024 05:09 PM"
Maruti Suzuki to invest Rs 450 crore in renewable energy initiative,"June 05, 2024 01:56 PM"
"Green energy research report calls for GST cut on hydropower, wind projects","May 21, 2024 01:42 PM"
Indian renewable energy firm plans maiden dollar bond sale,"May 13, 2024 12:25 PM"
Sterling & Wilson Renewable Energy reports Rs 1.40 crore net profit in Q4,"April 21, 2024 09:18 PM"
Apple forms JV with CleanMax to build solar rooftop projects in India,"April 17, 2024 07:04 PM"
"JSW Energy plans to be more aggressive in solar, wind power bids: CEO and CFO","April 12, 2024 04:37 PM"
"MC Exclusive | ReNew to take up green hydrogen projects in India first, overseas plans may have to wait: Sumant Sinha","April 11, 2024 06:15 PM"
"At 11.4 GW, India's coal proposals hit record high since 2016: Global Energy Monitor","April 11, 2024 09:59 AM"
ReNew crosses 10GW of gross renewable energy assets in India,"April 10, 2024 06:16 PM"
Adani Green to invest Rs 1.5 lakh cr to build world’s largest renewable energy project: MD,"April 07, 2024 03:05 PM"
Increasing nuclear power capacity key to meet 2070 net zero target: Govt report,"April 04, 2024 06:31 PM"
NTPC becomes first CPSU to invite bids for setting up concentrated solar power plant,"April 03, 2024 04:30 PM"
MC Newsbreak Confirmed: Govt asks gas-based power gencos to step up for summer demand; mulls mandate under Section 11,"April 02, 2024 09:29 PM"
ALMM support will help India become the next big solar manufacturing hub: Experts,"April 01, 2024 07:49 PM"
India's power demand begins to rise as some states witness heatwave conditions,"March 29, 2024 05:43 PM"
NHPC inks loan agreement of JPY 20 billion with Japan Bank for International Cooperation,"March 28, 2024 06:59 PM"
"Bullish on India for the opportunities it offers, says US Ambassador Eric Garcetti","March 27, 2024 06:26 PM"
"Exclusive | Sweden keen on providing green solutions for India's hard-to-abate industries, says Swedish ambassador","March 25, 2024 08:00 AM"
Exclusive: Govt plans to increase uptake of gas-based power to meet peak summer demand,"March 22, 2024 09:24 PM"
JSW Energy acquires 45 MW wind project of Reliance Power for Rs 132 crore,"March 22, 2024 08:23 PM"
US-based Radia unveils world’s largest aircraft to boost onshore wind energy expansion,"March 20, 2024 07:29 PM"
"Grasim raises Rs 1,250-crore funding from International Finance Corporation","March 19, 2024 02:49 PM"
"REC arm, BHEL to develop utility-scale renewable energy projects","March 15, 2024 07:52 PM"
"Exclusive: Plans afoot for 15 GW rooftop solar capacity in govt, commercial and industrial buildings","March 11, 2024 03:48 PM"
We need to re-skill women for greater participation in the clean energy space: Vaishali Nigam Sinha,"March 08, 2024 08:18 PM"
Renewable energy to have 57% share in India’s installed capacity by 2030: Crisil,"March 06, 2024 06:33 PM"
"Falling cost, government incentives to fast-track rooftop solar installations","March 05, 2024 10:00 AM"
"PM Modi launches development projects worth Rs 56,000 crore","March 04, 2024 09:31 PM"
Cabinet approves PM Surya Ghar: Muft Bijli Yojana scheme for installing rooftop solar in 10 million households,"February 29, 2024 03:38 PM"
How PM Surya Ghar Muft Bijli Yojana is different from the previous rooftop solar scheme,"February 28, 2024 07:00 AM"
Strategic Leh-Kaithal Green Energy Corridor gets President's assent,"February 22, 2024 04:25 PM"
Govt likely to offer coal at lower than market rate for coal gasification projects,"February 21, 2024 06:35 PM"
"SJVN gets competitive L1 tariff of Rs 3.43/kWh for 1,500 MW solar-wind hybrid project","February 20, 2024 05:30 PM"
Thermax Ltd to renew focus on power projects in FY25: CEO Ashish Bhandari,"February 19, 2024 04:03 PM"
India needs Rs 30-lakh-cr investment to meet 2030 green power target,"February 15, 2024 01:35 PM"
MNRE issues guidelines for pilot projects on use of green hydrogen in transport sector,"February 14, 2024 08:47 PM"
Govt eyes concentrated solar power systems in renewable energy parks,"February 14, 2024 04:33 PM"
How financial engineering can help Europe go green,"February 14, 2024 03:41 PM"
"Modi renames rooftop solar scheme as 'PM Surya Ghar: Muft Bijli Yojana' with Rs 75,000-cr investment","February 13, 2024 02:55 PM"
Shell kicks off sale of Indian renewable energy unit Sprng,"February 07, 2024 10:10 AM"
